Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
"Beyond
  ag",Reduced Food Waste,nan,"tensor(0.5896, device='mps:0')",Reshaping the global food system. Turning food waste into animal feedstock,Initiatives and practices that minimize the amount of food that is discarded or lost in the supply chain.,https://www.beyondag.com
Karma,Reduced Food Waste,nan,"tensor(0.5757, device='mps:0')",Dedicated to battling one of the world’s largest climate issues; food waste. App for retailers/restaurants to sell surplus food at discounted prices,Initiatives and practices that minimize the amount of food that is discarded or lost in the supply chain.,https://www.karma.life
Refed,Reduced Food Waste,Composting,"tensor(0.5643, device='mps:0')","ReFED is a multi-stakeholder nonprofit committed to reducing U.S. food waste ReFED is a multi-stakeholder nonprofit, powered by an influential network of the nation’s leading business, nonprofit, foundation, and government leaders committed to reducing U.S. food waste. ReFED takes a data-driven approach to move the food system from acting on instinct to insights to solve our national food waste problem. Solutions already exist to cut food waste by 20% nationwide. ReFED has identified 27 of the best opportunities through the Roadmap to Reduce U.S. Food Waste, a first-of-its-kind economic analysis, making it easier for stakeholders across the food supply chain to meet the national 50% reduction goal by 2030. The ReFED Roadmap revolutionized the way the industry looks at food waste -- looking beyond challenges and identifying concrete opportunities to save money and resources, feed people, and create jobs. ReFED’s continued efforts include promoting date label standardization through a multi-stakeholder initiative; collecting data and generating insights on the innovation taking place to reduce food waste; and centralizing food waste policies at the state and Federal level. These tools help businesses, nonprofits, government, and investors put the most impactful solutions to reduce food waste into action.",Initiatives and practices that minimize the amount of food that is discarded or lost in the supply chain.,https://www.refed.com
Advanced circular polymers,Reduced Plastics,nan,"tensor(0.6543, device='mps:0')",Changing the way Australia recycles We provide sustainable solutions to the global plastics crisis by driving innovation in plastics recycling technology and lead the movement to remove plastics waste from the environment.,"Efforts to minimize plastic production and use, promoting alternatives and reducing environmental impact.",https://www.acpolymers.com.au
Repurpose,Reduced Plastics,nan,"tensor(0.6464, device='mps:0')",To get rid of single use petroleum based plastic products.,"Efforts to minimize plastic production and use, promoting alternatives and reducing environmental impact.",https://www.repurpose.com
Plastic bank,Reduced Plastics,nan,"tensor(0.5930, device='mps:0')",We're gathering one billion people together to stop ocean plastic and alleviate extreme poverty. We're turning plastic waste into currency to fight ocean plastic & help people ascend from poverty. Join the revolution at https://plasticbank.com,"Efforts to minimize plastic production and use, promoting alternatives and reducing environmental impact.",https://www.plasticbank.com
Econic technologies,Reduced Plastics,nan,"tensor(0.5561, device='mps:0')","Our catalyst technologies enable the use of captured CO₂ to make better plastics, at lower cost, more sustainably.","Efforts to minimize plastic production and use, promoting alternatives and reducing environmental impact.",https://www.econic-technologies.com
Avantium,Reduced Plastics,nan,"tensor(0.4989, device='mps:0')","Avantium is a pioneer in the emerging industry of renewable and sustainable chemistry. Avantium is a pioneer in the emerging industry of renewable and sustainable chemistry. We seek to take part in the opportunities of the transition towards a circular econo­my, with the goal of creating value for our stakeholders and society as a whole. Avantium’s mission is to aid the transition to a fossil-free world by developing groundbreaking products on the basis of re­newable feedstock instead of fossil resources. Sustainable alterna­tives for fossil-based chemicals and materials include plastic bot­tles for drinks, films for food packaging and electronics, fibers for textiles and even material used in toys. We create disruptive technologies bringing them to the world with partners to accelerate the transition towards renewable and circular products. We foster a safe and vibrant place to make an impact.","Efforts to minimize plastic production and use, promoting alternatives and reducing environmental impact.",https://www.avantium.com
Dioxide materials,Refrigerant Management,nan,"tensor(0.6161, device='mps:0')",Systems for carbon dioxide recycling to fuels and chemicals. Renewable fuels,"Strategies to capture, recycle, and safely dispose of refrigerants, which are potent greenhouse gases.",https://www.dioxidematerials.com
Heirloom,Refrigerant Management,Carbon Capture & Utilization,"tensor(0.5245, device='mps:0')","Heirloom, a direct air capture company permanently removing CO2 from the atmosphere","Strategies to capture, recycle, and safely dispose of refrigerants, which are potent greenhouse gases.",https://www.heirloomcarbon.com
Unpackaged,Refrigerant Management,nan,"tensor(0.5224, device='mps:0')","Free your home from single-use plastic Our planet-friendly household cleaners come in packaging that you can refill, not landfill.","Strategies to capture, recycle, and safely dispose of refrigerants, which are potent greenhouse gases.",https://www.unpackaged.eco
Carbonfree chemicals,Refrigerant Management,nan,"tensor(0.5207, device='mps:0')",Carbonfree Chemicals provides green chemistry solutions for profitable carbon and emissions management.,"Strategies to capture, recycle, and safely dispose of refrigerants, which are potent greenhouse gases.",https://www.carbonfreechem.com
Biorecro,Refrigerant Management,nan,"tensor(0.4719, device='mps:0')",Scaling Carbon Removal with BECCS (Bioenergy with Carbon Capture & Storage).,"Strategies to capture, recycle, and safely dispose of refrigerants, which are potent greenhouse gases.",https://www.biorecro.com
Farmer's footprint,Regenerative Annual Cropping,nan,"tensor(0.7010, device='mps:0')","Farmer's Footprint promotes the widespread use of regenerative agriculture to improve soil, human, and environmental health.","Agricultural practices that restore and enhance soil health each growing season, promoting carbon storage and soil vitality.",https://www.community.farmersfootprint.us/share/cdbjrsb6bef8ddps?utm_source=manual
Soil carbon co,Regenerative Annual Cropping,nan,"tensor(0.6953, device='mps:0')","We help farming businesses thrive by providing tools to restore carbon to the soil Our unique approach uses soil microbes to deliver stable carbon storage at a gigatonne game-changing scale. More carbon in our soils not only gives agronomic benefits but creates an opportunity for farmers to trade a new commodity: sequestered carbon. Or, as we call it, the Second Crop","Agricultural practices that restore and enhance soil health each growing season, promoting carbon storage and soil vitality.",https://www.soilcarbon.co
Kiss the ground,Regenerative Annual Cropping,nan,"tensor(0.5856, device='mps:0')",Kiss The Ground increases societal awareness about the benefits of healthy soil.,"Agricultural practices that restore and enhance soil health each growing season, promoting carbon storage and soil vitality.",https://www.kisstheground.com
Wynergy,Regenerative Annual Cropping,nan,"tensor(0.5356, device='mps:0')","Agrivoltaics = best practice solar farming Our unique approach offers a truly mixed land-use – combining clean-energy and agricultural, known as Agrivoltaics. Building a connection between renewable energy and food+fibre production is a fundamental challenge on fertile farming land, and here at WYNERGY we have developed a business which improves soil and boosts fodder AND energy generation yields. This has been evidenced by 2 studies in Oregon and Arizona (USA), where an increase of 328 % soil moisture resulted in 90 % increased biomass growth (fodder), compared to the control paddocks adjacent.","Agricultural practices that restore and enhance soil health each growing season, promoting carbon storage and soil vitality.",https://www.wynergy.com.au
Farm hill,Regenerative Annual Cropping,nan,"tensor(0.4748, device='mps:0')",Farm Hill provides a fresh and healthy meal delivery service.,"Agricultural practices that restore and enhance soil health each growing season, promoting carbon storage and soil vitality.",https://www.farmhill.com
Sustainable ocean alliance,Seafloor Protection,nan,"tensor(0.4965, device='mps:0')","Sustainable Ocean Alliance empowers the next generation to become leaders in preserving the health and sustainability of our ocean. We believe that by providing young leaders with education, resources and opportunities, they will create measurable impact on our ocean and become integral forces of change.",Conservation of the ocean floor habitats to maintain their ecological functions and carbon sequestration potential.,https://www.soalliance.org
Blue frontier,Seafloor Protection,nan,"tensor(0.4512, device='mps:0')","Building solution-based constituency to protect our ocean, coasts & communities.",Conservation of the ocean floor habitats to maintain their ecological functions and carbon sequestration potential.,https://www.bluefront.org
The ocean cleanup,Seafloor Protection,nan,"tensor(0.4431, device='mps:0')","The largest cleanup in history The Ocean Cleanup is a non-profit organization, developing advanced technologies to rid the world’s oceans of plastic. By utilizing the ocean currents to our advantage, our passive drifting systems are estimated to clean up half the Great Pacific Garbage Patch in 5 years’ time.",Conservation of the ocean floor habitats to maintain their ecological functions and carbon sequestration potential.,https://www.theoceancleanup.com
Sofar,Seafloor Protection,nan,"tensor(0.4072, device='mps:0')","We build accessible ocean sensing and exploration tools for ocean enthusiasts, industry, and conservation. Sofar builds accessible ocean sensing and exploration tools for ocean enthusiasts, industry, and conservation.",Conservation of the ocean floor habitats to maintain their ecological functions and carbon sequestration potential.,https://www.sofarocean.com
Saltwater,Seafloor Protection,nan,"tensor(0.3268, device='mps:0')","At Saltwater, we are driven by 3 simple principles: People matter most, Focus on the long-term, Leave Earth better for our children",Conservation of the ocean floor habitats to maintain their ecological functions and carbon sequestration potential.,https://www.saltwater.com
Macro oceans,Seaweed Farming,Biomass,"tensor(0.7130, device='mps:0')",Macro Oceans develops technology to harness the restorative power of seaweed.,"Cultivation of seaweed for food, biofuels, and other products, while offering carbon sequestration benefits.",https://www.macro-oceans.com
C-combinator,Seaweed Farming,nan,"tensor(0.6935, device='mps:0')","Low cost, globally scalable, natural carbon sequestration C-Combinator is focused on collecting, processing and growing seaweed profitably at scale. Founded in January 2020, C-Combinator is a for profit spinout of the Climate Foundation led by world renowned ocean scientist Dr. Brian von Herzen, PhD. After nearly a decade of R&D, Brian and his team at The Climate Foundation are ready to implement his patented and proprietary ideas at full scale commercialization. A multifaceted plan to first harvest and process available seaweeds, will expand to grow kelp on a massive scale. By implementing Dr. von Herzen’s ideas on just 2% of the worlds’ ocean surface we will draw down enough CO2 to offset humanities’ yearly emissions. We are marketing seaweed extracts to the agricultural industry as organic fertilizers and biostimulants. We will be further exploring markets including bioplastics, carbon fiber, alginates, nutraceuticals, building materials and fibrous products.","Cultivation of seaweed for food, biofuels, and other products, while offering carbon sequestration benefits.",https://www.c-combinator.com
Grid alternatives,Seaweed Farming,nan,"tensor(0.6667, device='mps:0')",Tracking the seaweed economy,"Cultivation of seaweed for food, biofuels, and other products, while offering carbon sequestration benefits.",https://www.gridalternatives.org
Blue ocean barns,Seaweed Farming,nan,"tensor(0.6054, device='mps:0')","Blue Oceans Barns feeds seaweed to cows for a cooler Earth: it processes and markets an emissions-eliminating additive. Our ingredient comes from an abundant seaweed by the name of Asparagopsis taxiformis. When minimally processed and fed in small amounts to cattle, the natural oils in this seaweed dramatically reduce their methane emissions. We’re collaborating with stakeholders across the value chain to harvest, process, and deliver our ingredient in ways that fit seamlessly into cattle feeding operations.","Cultivation of seaweed for food, biofuels, and other products, while offering carbon sequestration benefits.",https://www.blueoceanbarns.com
Phyconomy,Seaweed Farming,nan,"tensor(0.5803, device='mps:0')",Sharing seaweed news for the world.,"Cultivation of seaweed for food, biofuels, and other products, while offering carbon sequestration benefits.",https://www.phyconomy.net
Regen network,Silvopasture,nan,"tensor(0.5045, device='mps:0')","We build open tools that facilitate ecological regeneration Regen Network realigns the agricultural economy with ecological health by creating the global market for planetary stewardship. Using a distributed ledger and modern remote sensing technology, our team is creating new tools for how humanity relates to its environment. We are creating the peer to peer infrastructure that allows anyone to propose a protocol for the accurate measurement of specific environmental outcomes. We then invite existing academic and scientific communities to comment and upgrade those proposals. Over time, there will be hundreds of different, well accepted, scientifically robust protocols for understanding, with a high degree of accuracy, the ecological impact on any specific piece of land.","The integration of trees and pasture or livestock farming, enhancing carbon sequestration, biodiversity, and farm productivity.",https://www.regen.network
Dendra systems,Silvopasture,nan,"tensor(0.4962, device='mps:0')",Automation and Intelligence for the Natural World Integrated analytics and planting solutions for large-scale ecosystem restoration.,"The integration of trees and pasture or livestock farming, enhancing carbon sequestration, biodiversity, and farm productivity.",https://www.dendra.io
Accend,Silvopasture,nan,"tensor(0.4692, device='mps:0')",Environmental Sustainability Services ACCEND can help you plan sustainable carbon management to offer your organization with a documented strategy and ways that will help you prepare for the physical and economic risks of climate change.,"The integration of trees and pasture or livestock farming, enhancing carbon sequestration, biodiversity, and farm productivity.",https://www.accend.no
Sokti group,Silvopasture,nan,"tensor(0.4601, device='mps:0')","Accelerating Global Sustainability Our vision is to create a new world where business is connected and individuals are empowered to make informed choices for the environment, their health and our global communities. We're developing a trusted and transparent ecosystem, using tech to connect and integrate transparent supply chains within plant based and insect based industries, whilst educating, connecting and inspiring consumers to live more sustainable healthy lives.","The integration of trees and pasture or livestock farming, enhancing carbon sequestration, biodiversity, and farm productivity.",https://www.sokti.com
Glasswall syndicate,Silvopasture,nan,"tensor(0.4388, device='mps:0')","We invest in companies and products that will make a difference in the lives of animals, people and the planet.","The integration of trees and pasture or livestock farming, enhancing carbon sequestration, biodiversity, and farm productivity.",https://www.glasswallsyndicate.org
Waterotor energy technologies,Small Hydropower,nan,"tensor(0.6163, device='mps:0')",Low Cost Power From Slow Moving Water Waterotor enables affordable and continuous generation of electrical energy with low environmental impact.,"Hydroelectric systems that generate electricity using water flow, but on a smaller scale compared to large hydro dams.",https://www.waterotor.com
Hydro volts,Small Hydropower,nan,"tensor(0.5929, device='mps:0')",New hydropower technology taps a plentiful overlooked global source of renewable energy.,"Hydroelectric systems that generate electricity using water flow, but on a smaller scale compared to large hydro dams.",https://www.hydrovolts.com
Turbulent,Small Hydropower,nan,"tensor(0.5575, device='mps:0')",The most profitable micro hydropower plant A gravity vortex micro hydropower plant. Prefabricated. Inspired by nature.,"Hydroelectric systems that generate electricity using water flow, but on a smaller scale compared to large hydro dams.",https://www.turbulent.be
Lucid energy,Small Hydropower,In-Stream Hydro,"tensor(0.4478, device='mps:0')","Creating a new way for industries particularly those that use large amounts of water and electricity. Lucid Energy Inc. is a pioneer in the development of in-pipe hydropower technology. The LucidPipe Power System provides clean, reliable, low-cost electricity.","Hydroelectric systems that generate electricity using water flow, but on a smaller scale compared to large hydro dams.",https://www.lucidenergy.com
Hydro international,Small Hydropower,nan,"tensor(0.4466, device='mps:0')","Hydro International is a global company who provide advanced products, services and expertise to help municipal, industrial.","Hydroelectric systems that generate electricity using water flow, but on a smaller scale compared to large hydro dams.",https://www.hydro-int.com/en/products/hydro-microscreen-0
Tado,Smart Thermostats,nan,"tensor(0.6395, device='mps:0')",Tado° offers smart thermostats and apps that adjusts to the real-time behavior of residents in private homes and small businesses. Intelligent climate management that effortlessly saves energy and money for your AC or home heating system. At tado we believe that unnecessarily wasting energy should be a thing of the past. Therefore we strive to create solutions that optimize energy consumption at home without sacrificing comfort. Our international team of professionals from diverse backgrounds develops technologies that set new standards and challenge the status quo - every day.,"Thermostats that allow users to schedule, monitor, and remotely control home temperatures, optimizing for energy efficiency and user comfort.",https://www.tado.com
Mysa smart thermostats,Smart Thermostats,nan,"tensor(0.5550, device='mps:0')","Mysa is the first ever high-voltage thermostat that is truly smart. It is fully featured for the conscientious consumer: smart learning features which amount to approximately 15% savings on energy bills, remote access to control their home’s heating through their smartphone from anywhere in the world, and integration with popular smart home platforms","Thermostats that allow users to schedule, monitor, and remotely control home temperatures, optimizing for energy efficiency and user comfort.",https://www.getmysa.com
Ecobee,Smart Thermostats,nan,"tensor(0.5171, device='mps:0')",Ecobee is a provider of Wi-Fi enabled smart thermostats for residential and commercial applications.,"Thermostats that allow users to schedule, monitor, and remotely control home temperatures, optimizing for energy efficiency and user comfort.",https://www.ecobee.com/en-us
Ecosync,Smart Thermostats,nan,"tensor(0.5159, device='mps:0')","EcoSync offers cloud-based platform helping commercial buildings to stop heating empty rooms. EcoSync is a multi-award winning start-up company of Oxford University, developing a smart temperature control system combining artificial intelligence with MIT technologies - applied to real buildings.","Thermostats that allow users to schedule, monitor, and remotely control home temperatures, optimizing for energy efficiency and user comfort.",https://www.ecosync.energy
Dandelion,Smart Thermostats,nan,"tensor(0.5128, device='mps:0')","Heating and cooling, reimagined. See how homeowners are saving money by switching to geothemal heating & cooling","Thermostats that allow users to schedule, monitor, and remotely control home temperatures, optimizing for energy efficiency and user comfort.",https://www.dandelionenergy.com
Desolenator,Solar Hot Water,nan,"tensor(0.6734, device='mps:0')","Solving water, sustainably. Patented system combines the thermal and electrical energy from a PV panel, with a process of heat exchange to produce pure water","Systems that use solar energy to heat water for residential or commercial use, reducing the need for fossil fuels.",https://www.desolenator.com
Shifted energy,Solar Hot Water,nan,"tensor(0.6404, device='mps:0')",Shifted Energy enable electric water heaters to consume excess renewable energy and provide grid services.,"Systems that use solar energy to heat water for residential or commercial use, reducing the need for fossil fuels.",https://www.shiftedenergy.com
Solaris synergy,Solar Hot Water,nan,"tensor(0.6242, device='mps:0')",Leveraging Water Surfaces to Generate Solar Energy,"Systems that use solar energy to heat water for residential or commercial use, reducing the need for fossil fuels.",https://www.solaris-synergy.com
Clean power research,Solar Hot Water,nan,"tensor(0.6111, device='mps:0')",Clean Power Research supports solar and other renewable energy systems and energy efficiency technologies.,"Systems that use solar energy to heat water for residential or commercial use, reducing the need for fossil fuels.",https://www.cleanpower.com
Brightsource energy,Solar Hot Water,nan,"tensor(0.6099, device='mps:0')",BrightSource Energy designs and builds utility-scale solar power plants to help companies lessen their dependency on fossil fuels.,"Systems that use solar energy to heat water for residential or commercial use, reducing the need for fossil fuels.",https://www.brightsourceenergy.com
Khethworks,Sustainable Intensification for Smallholders,nan,"tensor(0.6525, device='mps:0')",Making farms work.,Practices that aim to increase farm productivity for small-scale farmers without adversely impacting the environment.,https://www.khethworks.com
80 acres farms,Sustainable Intensification for Smallholders,nan,"tensor(0.6129, device='mps:0')","Creating a better world through growing food differently. A vertical farm growing the cleanest (zero pesticides!), best tasting produce. Truly local means shipping under 50 miles, farm to fork in 1 day!",Practices that aim to increase farm productivity for small-scale farmers without adversely impacting the environment.,https://www.80acresfarms.com
Sunculture,Sustainable Intensification for Smallholders,nan,"tensor(0.6092, device='mps:0')",SunCulture develops and commercializes life-changing technologies that solve the biggest daily challenges for the world's 570 million smallholder farmers,Practices that aim to increase farm productivity for small-scale farmers without adversely impacting the environment.,https://www.sunculture.com
Aigen - robotics,Sustainable Intensification for Smallholders,Abandoned Farmland Restoration,"tensor(0.5891, device='mps:0')",Connecting farmers to breakthrough technologies and decarbonizing agriculture,Practices that aim to increase farm productivity for small-scale farmers without adversely impacting the environment.,https://www.aigen.io
Plenty,Sustainable Intensification for Smallholders,nan,"tensor(0.5448, device='mps:0')","Indoor vertical farmers on a mission to bring the freshest, cleanest, most craveable produce to people everywhere.",Practices that aim to increase farm productivity for small-scale farmers without adversely impacting the environment.,https://www.plenty.ag
Fyto,System of Rice Intensification,nan,"tensor(0.4599, device='mps:0')",FYTO is a technology company that develops systems that grow high quality crops using less resources.,Agricultural techniques that increase the yield of rice cultivation while using less water and fewer inputs.,https://www.fyto.us
Jasberry,System of Rice Intensification,nan,"tensor(0.4027, device='mps:0')","Jasberry is a social enterprise that aims to solve the problem of farmer poverty through innovative organic products with global appeal. Employing an inclusive business model, we partner with over 2,500 small-scale farmers' families in rural Thailand to grow Jasberry rice, a new variety of non-GMO wholegrain rice that is purple in color and extremely high in antioxidants. More specifically, Jasberry rice has 40 times more antioxidants than brown rice, 7x kale and 4x quinoa, making it the World's First Superfood Rice. A superfood that is accessible and affordable for everyday life that helps to transform farmers' lives and the planet.",Agricultural techniques that increase the yield of rice cultivation while using less water and fewer inputs.,https://www.jasberry.net
Cake,System of Rice Intensification,nan,"tensor(0.2091, device='mps:0')","CAKE provides performance marketing software with solutions for affiliate marketing, lead generation and multichannel marketing.",Agricultural techniques that increase the yield of rice cultivation while using less water and fewer inputs.,https://www.ridecake.com
Greenhouse capital,System of Rice Intensification,nan,"tensor(0.1899, device='mps:0')",M&A | Direct Investment | Capital Raising | Growth Strategy,Agricultural techniques that increase the yield of rice cultivation while using less water and fewer inputs.,https://www.greenhousecap.com
Airity technologies,Telepresence,nan,"tensor(0.4674, device='mps:0')",Airity Technologies is a deep-tech startup that specializes in the field of power electronics.,"Technologies, such as video conferencing, that enable virtual presence, reducing the need for physical travel and associated emissions.",https://www.airitytech.com
Sciencevr,Telepresence,nan,"tensor(0.4005, device='mps:0')",Visualize Human Knowledge in AR/VR,"Technologies, such as video conferencing, that enable virtual presence, reducing the need for physical travel and associated emissions.",https://www.sciencevr.com
Currently,Telepresence,nan,"tensor(0.3996, device='mps:0')",Currently is a social network that connects people who are interested in outdoor activities.,"Technologies, such as video conferencing, that enable virtual presence, reducing the need for physical travel and associated emissions.",https://www.currentlyhq.com
Sustainable ux,Telepresence,nan,"tensor(0.3985, device='mps:0')","The online event for UX, front-end, and product people who want to make a positive impact—on climate-change, social equality, and inclusion.","Technologies, such as video conferencing, that enable virtual presence, reducing the need for physical travel and associated emissions.",https://www.sustainableux.com
Afresh technologies,Telepresence,Reduced Food Waste,"tensor(0.3975, device='mps:0')",Afresh Technologies is dedicated to increase the profitability and business success of our customers.,"Technologies, such as video conferencing, that enable virtual presence, reducing the need for physical travel and associated emissions.",https://www.afresh.com
Battelle,Temperate Forest Restoration,nan,"tensor(0.1950, device='mps:0')",Battelle Memorial Institute is a nonprofit research and development organization.,"Efforts to rejuvenate and replant temperate forests, enhancing carbon sequestration and habitat.",https://www.battelle.org
Lionheart ventures,Temperate Forest Restoration,nan,"tensor(0.1867, device='mps:0')","Lionheart Ventures is a global, seed-stage venture capital firm investing in companies that make humanity more resilient.","Efforts to rejuvenate and replant temperate forests, enhancing carbon sequestration and habitat.",https://www.lionheart.vc
Trillion tree campaign,Tree Intercropping,nan,"tensor(0.6005, device='mps:0')","Plant with us! The Plant-for-the-Planet Web-App presents Tree Planting Organizations from all over the world. This way you can easily help to plant trees! No matter when or where you are, it's never been easier to save the climate and do something good. Because global reforestation binds at least a quarter of the annual man-made CO2 emissions and at the same time creates prosperity in the Global South.","Agricultural practice where trees are grown among crops, enhancing biodiversity, soil health, and carbon sequestration.",https://www.trilliontreecampaign.org
Reforest now,Tree Intercropping,nan,"tensor(0.5995, device='mps:0')","We grow and plant trees in Australia to protect, conserve, and regenerate forests. We grow trees in our nursery and plant trees in the subtropical and tropical areas of NSW and QLD of Australia to protect and support rainforests and subtropical forests ecosystems.","Agricultural practice where trees are grown among crops, enhancing biodiversity, soil health, and carbon sequestration.",https://www.reforestnow.org.au
One tree planted,Tree Intercropping,Abandoned Farmland Restoration,"tensor(0.5818, device='mps:0')",One Tree Planted is a non-profit organization that focuses on global reforestation by planting one tree for every dollar donated worldwide.,"Agricultural practice where trees are grown among crops, enhancing biodiversity, soil health, and carbon sequestration.",https://www.onetreeplanted.org
Greenstand,Tree Intercropping,nan,"tensor(0.5770, device='mps:0')","Addressing poverty and climate change through technology Greenstand’s mission is to create a global, open-source marketplace to digitally track and compensate farmers for growing individually-managed trees to support reforestation and alleviate poverty.","Agricultural practice where trees are grown among crops, enhancing biodiversity, soil health, and carbon sequestration.",https://www.greenstand.org
Outland,Tree Intercropping,nan,"tensor(0.5124, device='mps:0')",We have planted 1.5 billion trees in Canada since 1985. We have been planting trees in Canada since 1985 and have been growing steadily ever since. We have planted over 1.5 billion trees to date and have taken on other challenges to become a turnkey contractor.,"Agricultural practice where trees are grown among crops, enhancing biodiversity, soil health, and carbon sequestration.",https://www.outlandplanting.ca
Eden reforestation projects,Tree Plantations (on Degraded Land),nan,"tensor(0.5720, device='mps:0')","Eden Reforestation Projects is a nonprofit that plants millions of trees every year on the behalf of donors, businesses, and foundations. Eden Reforestation Projects is a 501c3 non-profit whose mission is to provide fair wage employment to impoverished villagers as agents of global forest restoration. We hire the poorest of the poor to grow, plant, and guard to maturity native species forest on a massive scale. Our “employ to plant methodology” results in a multiplication of positive socio-economic and environment measures.","Establishment of tree farms on previously degraded lands, capturing carbon and sometimes providing timber or other resources.",https://www.edenprojects.org
Treehouse investments,Tree Plantations (on Degraded Land),nan,"tensor(0.5575, device='mps:0')","Treehouse Investments is an investment firm that invests in energy, natural resources, emerging markets, and other related sectors.","Establishment of tree farms on previously degraded lands, capturing carbon and sometimes providing timber or other resources.",https://www.treehouseinvestments.com
Ecopost,Tree Plantations (on Degraded Land),nan,"tensor(0.5572, device='mps:0')","Specializing in environmentally friendly solutions that save the 
 environment from deforestation, pollution and create jobs for marginalised 
 groups.","Establishment of tree farms on previously degraded lands, capturing carbon and sometimes providing timber or other resources.",https://www.ecopost.co.ke
Mast forestry,Tree Plantations (on Degraded Land),nan,"tensor(0.5421, device='mps:0')","We plant trees with heavy-lift drone swarms. Professionals know that nursery suppliers lack capacity to reforest after sizeable wildfires — especially repeat fires. That's why we've invented a proprietary seed vessel that boosts survival rates. Now there is a a go-to contingency plan to quickly restore thousands of acres of wildfire ravaged land starting in 30 days. ​ ​We understand that forestry is complicated. Sometimes you need tree-planters, sometimes you need helicopters. DroneSeed is the sweet spot in-between. Keep the speed, boost the survival of seed, and do it affordably and at scale. We load thousands of seed vessels at a time into our FAA heavy-lift certified drone swarms, each aircraft planting 3/4 of an acre per flight, or 57lbs. We're a team of silviculturists: nursery managers, foresters, ecologists, biologists, and engineers. We love the data, theory, and the hands-on work necessary to grow forests. We understand land owner objectives. We work with 3 of the 5 largest timber companies in the world and The Nature Conservancy. Our customers trust us on-site to do our work independently, safely, in compliance, and on time.","Establishment of tree farms on previously degraded lands, capturing carbon and sometimes providing timber or other resources.",https://www.droneseed.com
Smartlam,Tree Plantations (on Degraded Land),nan,"tensor(0.5390, device='mps:0')","We are the Mass Timber Solutions Company creating better spaces, innovative buildings, and stronger communities. We are Growing North America.","Establishment of tree farms on previously degraded lands, capturing carbon and sometimes providing timber or other resources.",https://www.smartlam.com
Rainforest automation,Tropical Forest Restoration,nan,"tensor(0.4563, device='mps:0')",Rainforest Automation is an energy management software platform.,"Efforts to recover and replant tropical forests, key for biodiversity and carbon storage.",https://www.rainforestautomation.com
Client earth,Tropical Forest Restoration,nan,"tensor(0.2302, device='mps:0')",Lawyers fighting for a healthy planet,"Efforts to recover and replant tropical forests, key for biodiversity and carbon storage.",https://www.clientearth.org
Form energy,Utility-Scale Energy Storage,nan,"tensor(0.6953, device='mps:0')","We are developing long duration energy storage systems to enable a fully renewable, affordable and reliable electric system. Form Energy has identified and is developing a novel approach that is low-cost, safe, and scalable. This battery would allow for a 100% renewable, carbon free grid. Form Energy offers a software solution to the industry that models the efficiency and cost-saving benefits of using Form’s long duration storage and identifies value to the entire electricity ecosystem.","Large energy storage systems that help balance and optimize the energy grid, especially beneficial for integrating renewable sources.",https://www.formenergy.com
Enervault,Utility-Scale Energy Storage,nan,"tensor(0.6769, device='mps:0')",EnerVault builds large-scale energy storage systems for the modern electric grid.,"Large energy storage systems that help balance and optimize the energy grid, especially beneficial for integrating renewable sources.",https://www.enervault.com
Balance power,Utility-Scale Energy Storage,nan,"tensor(0.6675, device='mps:0')",Energy Storage as A Service for FCAS for the grid,"Large energy storage systems that help balance and optimize the energy grid, especially beneficial for integrating renewable sources.",https://www.balancepower.com.au
Ampd,Utility-Scale Energy Storage,nan,"tensor(0.6648, device='mps:0')","Ampd Energy designs, engineers and manufactures state-of-the-art, grid-connected energy storage systems. Award-winning clean electric energy backup storage system","Large energy storage systems that help balance and optimize the energy grid, especially beneficial for integrating renewable sources.",https://www.ampd.energy
Gelion technologies,Utility-Scale Energy Storage,nan,"tensor(0.6596, device='mps:0')",Stationary energy storage systems and performance additives,"Large energy storage systems that help balance and optimize the energy grid, especially beneficial for integrating renewable sources.",https://www.gelion.com
Sunpower,Utility-Scale Solar Photovoltaics,nan,"tensor(0.6693, device='mps:0')","SunPower Corporation delivers high-performance solar electric systems worldwide for residential, commercial and utility-scale customers. SunPower designs, manufactures and delivers the planet's most powerful solar technology broadly available today.","Large-scale solar installations that convert sunlight into electricity, typically connected to the grid and supplying power to many users.",https://www.us.sunpower.com
Sunrun,Utility-Scale Solar Photovoltaics,nan,"tensor(0.6583, device='mps:0')","Changing the way we power our lives. Sunrun provides residential solar electricity and solar power services for homeowners. It invented a model known as solar service allowing homeowners to pay for the power, not the panels. It owns, maintains, and monitors the system while homeowners pay for the electricity it produces at a low, locked-in rate, saving them money over time.","Large-scale solar installations that convert sunlight into electricity, typically connected to the grid and supplying power to many users.",https://www.sunrun.com
Distributed sun,Utility-Scale Solar Photovoltaics,nan,"tensor(0.6489, device='mps:0')",Distributed Sun is a renewable energy services provider .,"Large-scale solar installations that convert sunlight into electricity, typically connected to the grid and supplying power to many users.",https://www.distributedsun.com
Redavia solar,Utility-Scale Solar Photovoltaics,nan,"tensor(0.6415, device='mps:0')",Providing pay-as-you-go solar power to on-grid and off-grid businesses and communities in sub-Saharan Africa.,"Large-scale solar installations that convert sunlight into electricity, typically connected to the grid and supplying power to many users.",https://www.redaviasolar.com
